"Path","Lines","SHA256","Review"
"src/main/accessibility/accessibility-adapter.ts","134","CCB74C1E0612588D986EFDD340CF2C32609C337B9095DF8CB1B0BC136A2B2B8C","Source read and integration traced"
"src/main/accessibility/accessibility.test.ts","57","9D7B307E8523F9AA7CBFD1D02C43A756F4014BCD2027E62D6BF633C17C1AFCFB","Test source and assertions read"
"src/main/actions/action-policy.test.ts","48","1C8D066CC72665AFA6FE3524FD7079BEE317ECCB5A81025E1755A8167629FA59","Test source and assertions read"
"src/main/actions/action-policy.ts","80","04B7B9036F516B9E3DF126666CB18CB6C134D376C375C44C8D2A863E0DA960A5","Source read and integration traced"
"src/main/ai/ai-provider.ts","47","9171F66D2F673FA8D11C9373F3E7DE9FCE0635CE671E97C1621C4DFBFF2A9092","Source read and integration traced"
"src/main/ai/claude-provider.ts","76","575D2A56726334561D04CBA571E172D14E963DBEC93DE5BF3C8F5547CF1D7DF9","Source read and integration traced"
"src/main/ai/gemini-provider.ts","76","16804A98DA83F555911FD23F8AEC6CBEE6B454A4F02F38204214F61C0197D88E","Source read and integration traced"
"src/main/ai/model-selection.test.ts","14","2763D8A5B00636C6EB59BC6D19CF4BB7E5F93BF609325108E15A7EF90173556C","Test source and assertions read"
"src/main/ai/openai-provider.ts","74","83DBE99ECC89CB2F685139519148B6047528D83782141D5E4410C24A49742556","Source read and integration traced"
"src/main/ai/provider-certification.test.ts","79","8C34F4525F8C92DE00648A4D74856CB2EFE25BB1F318888A31A3F09D01DC5C96","Test source and assertions read"
"src/main/ai/response-parser.test.ts","77","DAD712B7DE6255388A1373A689D9970D730E7FD4D1512E2B902AFF7070B72F96","Test source and assertions read"
"src/main/ai/response-parser.ts","94","C67F891237439A893C1058A24E5388ABFE5206EA1C555DB4B699C94738A30A3E","Source read and integration traced"
"src/main/ai/sse-stream.test.ts","36","BFE717E764D8B44851CDE0D272E45F8775B230F46B20DDE5E40C7137E2462DA1","Test source and assertions read"
"src/main/ai/sse-stream.ts","80","D524C763623124898F855FCA7F608986B7A028DA480C669B731408176B9733D0","Source read and integration traced"
"src/main/ai/system-prompt-builder.test.ts","28","BC6901774AF44F8A08E590EC35494D06C1A38FC44F18ECC9E9E891DC3AFE78D0","Test source and assertions read"
"src/main/ai/system-prompt-builder.ts","72","405EA782AAA594CDF5881EEAF0C916596A9182126621C42364CA4B75FFA4A708","Source read and integration traced"
"src/main/ai/vision-messages.test.ts","27","F824F3D52941A0175D2AA4F9F47E8CC031806E873351A68F18A792DA8AAB5075","Test source and assertions read"
"src/main/ai/vision-messages.ts","34","27255F86DF21B29BEC7016C262658FDE938F0CF292C26AE909F34309E6C599DF","Source read and integration traced"
"src/main/audio/assemblyai-stt.test.ts","178","0F4759D57B0691A4A1D477734F3C8BB4452292C0A2C1FF2DA8872DF647FF0D03","Test source and assertions read"
"src/main/audio/assemblyai-stt.ts","151","953AD4250D846B691E976AE2E0931929E199DF30832EDF77C4E055856A0CBF42","Source read and integration traced"
"src/main/audio/power-level.test.ts","36","59838ABD021FFCE299DB7A0504A1F466CC192C76968205A5D00F8E9F446791B3","Test source and assertions read"
"src/main/audio/power-level.ts","73","62D5745BD3BB6939B1514C7361E15B120A5AF87E7ED37FDF5EF6D3A9F465C2B3","Source read and integration traced"
"src/main/audio/stt-provider.ts","45","C5BCFE1619D8FF9A1F8C73DAC09069CFBFD9D8882BCC8ACE7D7D1D65FB699ED0","Source read and integration traced"
"src/main/audio/wait-for-audio.ts","11","A11EA1EDE1932CA2F7CE0225ED2A784A3DE0B93B693CD6A63EC4A356E6F7870A","Source read and integration traced"
"src/main/audio/web-speech-stt.ts","87","ED767ECA8EA867390F84F80BFB848BB85511857BF8087F857A22524E055AE8FE","Source read and integration traced"
"src/main/auth/token-store.ts","67","CF9F6DB818A709DE592B8768CE70D6A9AF9C1D85AD5A927B7599861FA3DB24DD","Source read and integration traced"
"src/main/config.test.ts","46","F59C51FA212D8AA8FEA0648CEEC390B52B633B7F82B10F630A262A47C7FB03C9","Test source and assertions read"
"src/main/config.ts","47","3A91FEF1E18F90451B6BBD629010F327E31A67717FEA58DF7A62748C97C97BA8","Source read and integration traced"
"src/main/diagnostics.ts","47","86C41A5CCCA5599ECF3D27AF547FE2F086059E1F4D8566C6EA3ABD5FF274FC94","Source read and integration traced"
"src/main/errors.ts","66","70E16F572E4B8DA942F505506E63936258E890ED27F81B6F94FB0F8C2F1E1A0A","Source read and integration traced"
"src/main/hotkey.test.ts","152","08C5DCEFC809461F58E5ABB29E9AD30A233874320E7771FBAAB2DCC5FE6628B2","Test source and assertions read"
"src/main/hotkey.ts","179","1D165D2FBDD0BC44B59E90CF49311A4228B633CA8A9A1465673918FD8D819B05","Source read and integration traced"
"src/main/index.ts","125","D68DCB4415E061FCBAB6C0CE6F11F84E53694471A3B5F36BBA6112D75A2F8B53","Source read and integration traced"
"src/main/ipc/channels.ts","2","C9475BFEE6E5EEF95D065A4EDADA30C90EA633C7F61D352AE17D31324A35934B","Source read and integration traced"
"src/main/ipc/handlers.ts","202","5FD53FF79CCE7C42B4589A27EBDC1E34F8C4E8A80AFF74830EE6E3938EF0DE55","Source read and integration traced"
"src/main/ipc/security.test.ts","123","C36BF86E093BCBA8B1EF872711AE6AE64DABF55650577A8B722E35A1041100C3","Test source and assertions read"
"src/main/ipc/security.ts","82","68D7BABDF1A11C0F5DF97E7F5C4B2301A98EB1BC38A5D87857BD2887D2558045","Source read and integration traced"
"src/main/logger.ts","68","809EFD8C811C268335168C7CCDDC4B7B67537BEA6FCB7DE5FC5E1805542DB9BC","Source read and integration traced"
"src/main/media/playback-controller.test.ts","71","5B12CC9AE2017B8C84997E4BF7FC015259B88B07C0FF32BD31061D697C397CAA","Test source and assertions read"
"src/main/media/playback-controller.ts","64","8650376A09802D168DC652ABF40192C287435FDA56148A98319DF093132B8942","Source read and integration traced"
"src/main/memory/session-memory.test.ts","34","CE727BE1D8988A049B3D77E0E4CABEC274D6BA045BA1153C267A34E84F7C4E0B","Test source and assertions read"
"src/main/memory/session-memory.ts","73","27DCF8206F85A6DD81DA54A64FC86FCDCE94BE4535E94DE86A0821436E06CA0E","Source read and integration traced"
"src/main/orchestrator.test.ts","194","2FF96DAC2F366F3C903356970EDE6A68680F60CDE1E67872B5581B362EC3D9AD","Test source and assertions read"
"src/main/orchestrator.ts","282","7C90E68A8FFAD6E76D9956DC18522C88944777EA54D95CAC66199CA05168E91B","Source read and integration traced"
"src/main/privacy/capture-policy.ts","93","5B7F64190DECBD56704A7FEC91AB469DC2B18881CEC96C2357A48C3338EF1684","Source read and integration traced"
"src/main/privacy/field-masking.ts","96","E43B70695C3E8E12F4F3D5CCB14BF93E5A29BCAE851F09D17DE21815F4AB2415","Source read and integration traced"
"src/main/privacy/privacy.test.ts","100","66DF8B420577E8837B5F6834C4248E5CD2537CE00D478DA88D65F974DA1936DE","Test source and assertions read"
"src/main/proactive/stuck-detector.test.ts","35","DD72FE6A06AB9218B2102C5BB4ABDFE67689C8D639671D939AAFCD79EB39121F","Test source and assertions read"
"src/main/proactive/stuck-detector.ts","72","467FCFBAD4BD9BFB61CF3170F5396D802FA655243761F770CD46760C542FF2B5","Source read and integration traced"
"src/main/screen/screen-capture.test.ts","47","5E1AF1F007720FFB783A32500669322F14B9680D30A19345450BE23CE450CFDD","Test source and assertions read"
"src/main/screen/screen-capture.ts","143","3B98ED4642199E4E635CFFF1926D32584FC433827FF1CF379ABD71FA4314DE21","Source read and integration traced"
"src/main/sessions/session-journal.test.ts","48","FDC72A874D1D6CD492FE89E1F5E9092931912B8FE07302918DEA8D02F52E2293","Test source and assertions read"
"src/main/sessions/session-journal.ts","116","D8CD0327E2298CC1259BA64FC98AB3769CF7EEA961AA0F527894E682376DC53A","Source read and integration traced"
"src/main/state/conversation.test.ts","44","679CCDA1C658825A179FC793232BF03DDE6BC3EC70E53C8CDAFADF9AC05B82B0","Test source and assertions read"
"src/main/state/conversation.ts","76","5E43F932EABCE89DFDF699F82AC8C026ABAFE6088819EB2A594D843D8D7136C5","Source read and integration traced"
"src/main/state/coordinate-mapper.test.ts","20","D831A56A796140F72AE200066533DEC8282C243B0BFA90E6DEEA72F3238459C8","Test source and assertions read"
"src/main/state/coordinate-mapper.ts","18","1EEB794CF7B7D2950655F1A84EC93096AC89B1542D01D674C45818293C97DDA2","Source read and integration traced"
"src/main/state/settings.test.ts","155","C8EBA113ABD1C0C020D4AE0C15D7CC3E091F54B374FA8218DFF6FC83FA92C657","Test source and assertions read"
"src/main/state/settings.ts","104","B29A2F2E0128EC74E9F6DCBD96C2D787B4A8604D57730B58E52B359721DD8AFB","Source read and integration traced"
"src/main/state/voice-state-machine.test.ts","68","6C3EF27A265C8291226B03A450FD11769D7790E4349FAB1AA6ED37BF4CE0C641","Test source and assertions read"
"src/main/state/voice-state-machine.ts","128","67CFF8F8B41E5E9ABA4089F375FCCF67D5534DEB23232AAB888FC141A7E13523","Source read and integration traced"
"src/main/tray.ts","125","B9C06C6BD3368B0868BF4081D758A610A3E27C9C02D917AAB7504EE7285F9DA5","Source read and integration traced"
"src/main/tts/browser-tts.ts","15","604ADCC8CBD8894EE2EC9705673ABA1320E412AD7CA3A3D30B6D51C50C5DF949","Source read and integration traced"
"src/main/tts/elevenlabs-tts.ts","6","F5BB065D890F5582224B520713834CA566DFF0F6A451C55CD3E219E522A106FF","Source read and integration traced"
"src/main/tts/openai-tts.ts","6","5FD057F9BE8C31BB505BDEF098024919A6179BE802DE45897169767C2135F7BE","Source read and integration traced"
"src/main/tts/proxy-tts.test.ts","52","D826D2E20343D6A27E684934A08EF81A5F7A500E74318EF077E6CA1B9680FA31","Test source and assertions read"
"src/main/tts/proxy-tts.ts","77","4BCE575788EAFE984D35C7808B7B9A10A43D669437C83B267922F3983DB20F41","Source read and integration traced"
"src/main/tts/tts-provider.ts","32","DFA11996121913E7FA92A33E123C8B9364CD3857D10A9E4414CB52F682F84176","Source read and integration traced"
"src/main/turn-ownership.test.ts","243","77CD88FCDB0A7F8592CD769E9CE6CACB39E3FB37F90A046CAE1DA69F0A6F7956","Test source and assertions read"
"src/main/windows/media-window.test.ts","35","4951927E675F5C292725A1F232B7D84D58B642E3B2CEB14471E5D97878412C2D","Test source and assertions read"
"src/main/windows/media-window.ts","50","F0A726996CD2A20BA63B449BB3C9744B1331F71EC929D23AC57D2C9B58F4F9FC","Source read and integration traced"
"src/main/windows/overlay-window.ts","162","3007897C3B3FBCD372C3169093171C4EEBEC8DAD258C3413A706C5A9075CCD7B","Source read and integration traced"
